summary_version,scenario,alpha,pi1,kappa,x_bin,y_bin,x_left,x_right,y_bottom,y_top,successes,count,probability
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,10,3.5,3.7083333333333335,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,10,3.5,3.7083333333333335,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,6,11,3.5,3.7083333333333335,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,6,11,3.5,3.7083333333333335,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,0,3.7083333333333335,3.916666666666667,2.25,2.4583333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,7,0,3.7083333333333335,3.916666666666667,2.25,2.4583333333333335,21.0,25.0,0.84
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,1,3.7083333333333335,3.916666666666667,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,7,1,3.7083333333333335,3.916666666666667,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,2,3.7083333333333335,3.916666666666667,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,7,2,3.7083333333333335,3.916666666666667,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,3,3.7083333333333335,3.916666666666667,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,7,3,3.7083333333333335,3.916666666666667,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,4,3.7083333333333335,3.916666666666667,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,7,4,3.7083333333333335,3.916666666666667,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,5,3.7083333333333335,3.916666666666667,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,7,5,3.7083333333333335,3.916666666666667,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,6,3.7083333333333335,3.916666666666667,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,7,6,3.7083333333333335,3.916666666666667,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,7,7,3.7083333333333335,3.916666666666667,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
