summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,perfect_separation_rate
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,12,3.7,3.8999999999999995,3.8,0.1,50,0.05,,100,8434.63,0.35,6312.3812542601,3.8001932214467735,2.0,0.039999999999999994,0.35,0.21,0.08766666666666666,-1.4331620597284198,-1.402158171502738,0.0,0.9327083333333333,0.01
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,12,3.7,3.8999999999999995,3.8,0.1,50,0.05,,100,8434.63,0.35,6312.3812542601,3.8001932214467735,2.0,0.039999999999999994,0.88,0.66,0.06433333333333333,-1.4331620597284198,-1.402158171502738,0.0,0.9857291666666665,0.07
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,13,3.8999999999999995,4.1,3.9999999999999996,0.1,50,0.05,,100,10627.88,0.245,9334.327834040592,3.97008304981832,2.0,0.039999999999999994,1.0,1.0,0.07766666666666666,-1.549133783380251,-1.5563507530290894,0.0,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,13,3.8999999999999995,4.1,3.9999999999999996,0.1,50,0.05,,100,10627.88,0.245,9334.327834040592,3.97008304981832,2.0,0.039999999999999994,0.06,0.03,0.08666666666666666,-1.549133783380251,-1.5563507530290894,0.0,0.7870833333333335,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,13,3.8999999999999995,4.1,3.9999999999999996,0.1,50,0.05,,100,10627.88,0.245,9334.327834040592,3.97008304981832,2.0,0.039999999999999994,0.41,0.23,0.07833333333333332,-1.549133783380251,-1.5563507530290894,0.0,0.93875,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,13,3.8999999999999995,4.1,3.9999999999999996,0.1,50,0.05,,100,10627.88,0.245,9334.327834040592,3.97008304981832,2.0,0.039999999999999994,0.83,0.62,0.07433333333333333,-1.549133783380251,-1.5563507530290894,0.0,0.989375,0.04
operational-envelope-v4,atlas,m_fixed_pi,perfect,1,100.0,2.0,1.8494850021680094,2.1505149978319906,0,1.3,1.5,1.4,0.1,100,0.05,,100,148.3,0.705,25.880522674023005,1.4129730429453435,5.0,0.04999999999999999,0.16,0.07,0.006666666666666666,0.7102031489190941,0.8860566476931633,0.92,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,1,100.0,2.0,1.8494850021680094,2.1505149978319906,0,1.3,1.5,1.4,0.1,100,0.05,,100,148.3,0.705,25.880522674023005,1.4129730429453435,5.0,0.04999999999999999,0.0,0.0,0.0,0.7102031489190941,0.8860566476931633,0.92,0.7782736842105265,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,1,100.0,2.0,1.8494850021680094,2.1505149978319906,0,1.3,1.5,1.4,0.1,100,0.05,,100,148.3,0.705,25.880522674023005,1.4129730429453435,5.0,0.04999999999999999,0.03,0.008,0.0,0.7102031489190941,0.8860566476931633,0.92,0.9310736842105265,0.06
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,1,100.0,2.0,1.8494850021680094,2.1505149978319906,0,1.3,1.5,1.4,0.1,100,0.05,,100,148.3,0.705,25.880522674023005,1.4129730429453435,5.0,0.04999999999999999,0.08,0.026000000000000002,0.005,0.7102031489190941,0.8860566476931633,0.92,0.9870947368421054,0.3
