summary_version,base_seed,weighted_simulator_version,target_log10_neff,neff_band_lower,neff_band_upper,neff_half_width,rho,alpha,m,pi1,requested_trials,attempt_index,accepted_index,n_cal,calib_ess,log10_neff,n_anomaly,actual_pi1,rank_delta,log10_rank_delta,rank_delta_above_one,perfect_any_discovery,perfect_power,perfect_fdr,perfect_auroc,perfect_perfect_separation_rate,finite_k3_any_discovery,finite_k3_power,finite_k3_fdr,finite_k3_auroc,finite_k3_perfect_separation_rate,attempts_for_cell
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,134,67,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9974736842105264,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,135,68,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9875368421052632,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,139,69,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.994778947368421,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,140,70,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9697684210526316,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,141,71,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,True,1.0,0.3055555555555556,1.0,1.0,False,0.0,0.0,0.9866947368421053,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,145,72,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9738105263157893,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,146,73,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9857684210526316,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,147,74,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9881263157894736,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,151,75,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9945263157894737,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,152,76,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,True,1.0,0.4444444444444444,1.0,1.0,True,0.88,0.47619047619047616,0.9778526315789473,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,153,77,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9910736842105262,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,157,78,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9935157894736842,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,158,79,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9855157894736842,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,159,80,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9661473684210526,0.0,200
